product,mass_kg,material_id,countryMaking,impact_ecs
pull,0.21,ei-chanvre,VN,1643.333890525382
jupe,0.48,coton-rdp,ROC,3999.198894664766
maillot-de-bain,0.29,ei-coton-organic,REO,2127.1292865410355
jupe,0.92,ei-pp,KH,6856.079459812183
jupe,0.94,ei-viscose,TR,7161.639718106506
calecon,0.07,ei-pa,TR,638.5252796041909
maillot-de-bain,0.26,ei-coton,TR,2510.6454342534257
jupe,0.34,ei-pa,REO,2522.70480720041
chemise,0.4166916496636889,ei-pet-r,VN,3230.0573556554746
tshirt,0.47,coton-rdp,IN,3737.552693931142
pantalon,1.31,ei-coton,VN,15547.678924764692
pull,0.4,ei-coton,MA,4198.174857430023
chemise,0.3605844494162193,ei-pet,TN,2606.976105176862
slip,0.09,ei-pet-r,TR,687.4149185671611
pull,1.36,elasthane,---,12063.076734604463
pantalon,0.79,coton-rdp,RAF,6203.301303466687
jupe,0.92,ei-coton,MA,9868.814780145483
jupe,0.27,ei-jute-kenaf,REE,2401.3300657563177
jupe,0.7,ei-pa,RAS,5628.939778033524
chemise,0.4507849429252282,elasthane,REE,3991.525552252107
tshirt,0.28,ei-pet,CN,2263.5113337593666
chaussettes,0.16,ei-viscose,REO,1020.102093257486
chemise,0.2313765226201283,ei-coton-organic,TN,1971.1798605621912
chemise,0.1882027517851205,ei-chanvre,BD,1573.287276950778
chemise,0.3454749992547357,ei-pet,RAF,2619.549255475264
tshirt,0.49,ei-laine-par-defaut,FR,6831.154393259614
pantalon,1.45,ei-laine-nouvelle-filiere,KH,13238.748531965066
chemise,0.4904561769793529,ei-viscose,BD,4146.70506449344
chemise,0.3825791267961877,coton-rdp,MM,3022.2174772421386
slip,0.13,ei-pa,BD,1148.6882041090032
manteau,2.61,ei-laine-par-defaut,KH,37539.94666336472
jean,1.2356393645445654,ei-jute-kenaf,---,12731.459009160531
tshirt,0.2,ei-coton-organic,MA,1748.126523516579
chaussettes,0.01,ei-coton,TN,96.55480165371635
maillot-de-bain,0.38,ei-laine-par-defaut,REE,4713.948838961324
calecon,0.14,ei-pet-r,REE,1173.1716536185577
chaussettes,0.13,ei-acrylique,ROC,1023.3534796731084
pull,1.17,ei-lin,RAS,8492.310086748586
pull,0.54,ei-coton-organic,RLA,4562.003248848348
calecon,0.19,elasthane,---,2079.9501994175685
maillot-de-bain,0.07,elasthane,RME,589.1602721633818
maillot-de-bain,0.26,ei-laine-nouvelle-filiere,TR,1872.7677993648529
jupe,0.52,elasthane,RAS,4844.169514021691
tshirt,0.21,coton-rdpc,BD,1719.7566786523917
